title,area,rating,n_reviews,reference
Herzen House (Герцен Хаус) 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.52,22,https://tophotels.ru/hotel/al20979/reviews
Алекс Отель На Маршала Жукова (Юго-Западная),"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.17,9,https://tophotels.ru/hotel/al286031/reviews
Арт-отель Рахманинов 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.09,13,https://tophotels.ru/hotel/al40404/reviews
Андерсен Отель 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.92,23,https://tophotels.ru/hotel/al17003/reviews
Ра Тамбовская 11 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.67,13,https://tophotels.ru/hotel/al102158/reviews
Пансионат Буревестник 2*,"Россия, Санкт-Петербургский регион, Санкт-Петербург, Репино",3.27,17,https://tophotels.ru/hotel/al38801/reviews
Ра Невский 44 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.04,15,https://tophotels.ru/hotel/al50020/reviews
Автор (Author) Boutique Hotel 5*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",5.0,12,https://tophotels.ru/hotel/al36900/reviews
Камея,"Россия, Санкт-Петербургский регион, Санкт-Петербург",5.0,8,https://tophotels.ru/hotel/al52200/reviews
AKYAN St.Petersburg 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.92,8,https://tophotels.ru/hotel/al188287/reviews
Серебряный век 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.86,11,https://tophotels.ru/hotel/al35962/reviews
Елизар 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.71,7,https://tophotels.ru/hotel/al58914/reviews
Big Marine 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.67,7,https://tophotels.ru/hotel/al173696/reviews
Kempinski Hotel Moika 22 St Petersburg 5*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.67,11,https://tophotels.ru/hotel/al40250/reviews
5й Угол 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.44,18,https://tophotels.ru/hotel/al13624/reviews
Суворов 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.37,9,https://tophotels.ru/hotel/al19088/reviews
Демократ на Невском 95 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.36,12,https://tophotels.ru/hotel/al244490/reviews
Соната на Гороховой 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.35,9,https://tophotels.ru/hotel/al53009/reviews
Классик,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.33,9,https://tophotels.ru/hotel/al102146/reviews
Акварели,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.31,9,https://tophotels.ru/hotel/al35919/reviews
Невский Астер Отель 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.25,16,https://tophotels.ru/hotel/al29623/reviews
Невский Берег 122 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.09,12,https://tophotels.ru/hotel/al26004/reviews
Петровский Двор 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.08,10,https://tophotels.ru/hotel/al59975/reviews
Невский Гранд Отель 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.08,21,https://tophotels.ru/hotel/al19093/reviews
А-ОТЕЛЬ Фонтанка Санкт-Петербург 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.91,14,https://tophotels.ru/hotel/al278271/reviews
Достоевский 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.83,23,https://tophotels.ru/hotel/al17081/reviews
Green Apple 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.73,15,https://tophotels.ru/hotel/al64106/reviews
Лесная Рапсодия 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.65,16,https://tophotels.ru/hotel/al66605/reviews
SuperHostel Некрасова 58,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.62,8,https://tophotels.ru/hotel/al123783/reviews
Невский Форум 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",5.0,10,https://tophotels.ru/hotel/al22842/reviews
Pushka Inn 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.97,8,https://tophotels.ru/hotel/al21170/reviews
Hotel Indigo St. Petersburg – Tchaikovskogo 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.96,6,https://tophotels.ru/hotel/al147903/reviews
Золотая Середина,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.92,8,https://tophotels.ru/hotel/al66469/reviews
Angleterre 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.88,10,https://tophotels.ru/hotel/al17008/reviews
Solo Петроградская сторона 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.83,7,https://tophotels.ru/hotel/al49132/reviews
АЛЬТБУРГ на Невском 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.79,7,https://tophotels.ru/hotel/al90320/reviews
АлександрИнн 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.78,7,https://tophotels.ru/hotel/al66400/reviews
Пилау гостевые комнаты,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.67,12,https://tophotels.ru/hotel/al57507/reviews
Grand Hotel Emerald 5*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.65,14,https://tophotels.ru/hotel/al17018/reviews
Талион Империал Отель 5*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.64,8,https://tophotels.ru/hotel/al63363/reviews
Палантин 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.61,8,https://tophotels.ru/hotel/al45330/reviews
Наутилус Inn 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.55,10,https://tophotels.ru/hotel/al18553/reviews
У Эрмитажа,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.39,8,https://tophotels.ru/hotel/al38903/reviews
Solo Литейный проспект 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.2,9,https://tophotels.ru/hotel/al49130/reviews
Graffiti L Hostel (закрыт),"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.19,7,https://tophotels.ru/hotel/al50444/reviews
Арт-отель Карелия 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.12,19,https://tophotels.ru/hotel/al17096/reviews
Введенский 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.94,11,https://tophotels.ru/hotel/al78910/reviews
Парк Английская набережная (Hotel Park River) 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.93,11,https://tophotels.ru/hotel/al90948/reviews
Ра Лиговский 87 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.87,10,https://tophotels.ru/hotel/al102156/reviews
SuperHostel На Невском 130,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.75,7,https://tophotels.ru/hotel/al274710/reviews
Литейный,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.75,6,https://tophotels.ru/hotel/al215963/reviews
Лицейская,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.37,10,https://tophotels.ru/hotel/al43414/reviews
ALVinn 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.35,19,https://tophotels.ru/hotel/al30650/reviews
Екатерина 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",5.0,6,https://tophotels.ru/hotel/al268546/reviews
Измайловская,"Россия, Санкт-Петербургский регион, Санкт-Петербург",5.0,6,https://tophotels.ru/hotel/al52433/reviews
Невский Бриз Отель 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.89,5,https://tophotels.ru/hotel/al38836/reviews
Majestic Boutique Hotel Deluxe 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.83,5,https://tophotels.ru/hotel/al267613/reviews
Веста,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.83,8,https://tophotels.ru/hotel/al37358/reviews
Тучков на Васильевском,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.81,6,https://tophotels.ru/hotel/al103563/reviews
Гринвич,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.8,21,https://tophotels.ru/hotel/al35255/reviews
A Boutique Hotel 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.8,5,https://tophotels.ru/hotel/al78734/reviews
Nordic Hotel 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.8,19,https://tophotels.ru/hotel/al42188/reviews
