title,area,rating,n_reviews,reference
Хостел Центральный,"Россия, Краснодарский край, Сочи",5.0,1,https://tophotels.ru/hotel/al316123/reviews
Морской Бриз Мамайка,"Россия, Краснодарский край, Сочи",4.83,1,https://tophotels.ru/hotel/al220885/reviews
Старая Хоста,"Россия, Краснодарский край, Сочи, Хоста",4.83,1,https://tophotels.ru/hotel/al315389/reviews
Central Hostel Sochi,"Россия, Краснодарский край, Сочи",4.75,1,https://tophotels.ru/hotel/al306550/reviews
Арт-Отель 3*,"Россия, Краснодарский край, Сочи, Хоста",4.5,1,https://tophotels.ru/hotel/al88521/reviews
Кавказ Санаторий,"Россия, Краснодарский край, Сочи, Хоста",4.5,1,https://tophotels.ru/hotel/al308802/reviews
Лайм Гостевой Дом,"Россия, Краснодарский край, Сочи",4.5,1,https://tophotels.ru/hotel/al303756/reviews
Plutus (Индиго) 3*,"Россия, Краснодарский край, Сочи",4.33,1,https://tophotels.ru/hotel/al315971/reviews
Аврора (СКК Сочинский),"Россия, Краснодарский край, Сочи, Хоста",4.33,3,https://tophotels.ru/hotel/al308328/reviews
LS Towns Hostel,"Россия, Краснодарский край, Сочи",4.25,1,https://tophotels.ru/hotel/al317750/reviews
Антика 3*,"Россия, Краснодарский край, Сочи",4.0,2,https://tophotels.ru/hotel/al306012/reviews
Волна,"Россия, Краснодарский край, Сочи",4.0,1,https://tophotels.ru/hotel/al35357/reviews
Князь Владимир,"Россия, Краснодарский край, Сочи",4.0,1,https://tophotels.ru/hotel/al322389/reviews
Санаторий Юг 3*,"Россия, Краснодарский край, Сочи",4.0,1,https://tophotels.ru/hotel/al312357/reviews
Экипаж Отель 1*,"Россия, Краснодарский край, Сочи",4.0,1,https://tophotels.ru/hotel/al274927/reviews
София 2*,"Россия, Краснодарский край, Сочи, Хоста",3.83,3,https://tophotels.ru/hotel/al115674/reviews
Чеширский Кот,"Россия, Краснодарский край, Сочи",3.75,2,https://tophotels.ru/hotel/al306013/reviews
Отель Утомленные солнцем 2*,"Россия, Краснодарский край, Сочи",3.5,2,https://tophotels.ru/hotel/al320039/reviews
Кудепста,"Россия, Краснодарский край, Сочи, Кудепста",3.0,2,https://tophotels.ru/hotel/al36519/reviews
Романов,"Россия, Краснодарский край, Сочи",3.0,4,https://tophotels.ru/hotel/al66140/reviews
Мамайка Гостевой Дом,"Россия, Краснодарский край, Сочи",2.5,2,https://tophotels.ru/hotel/al270464/reviews
Империя Бутик Отель,"Россия, Краснодарский край, Сочи",2.0,2,https://tophotels.ru/hotel/al307584/reviews
Центр Созидания И Гармонии,"Россия, Краснодарский край, Сочи",1.0,2,https://tophotels.ru/hotel/al274957/reviews
Anatol Guest House (Анатол Коттедж),"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al306202/reviews
Garage Hostel (Гараж Хостел),"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al220016/reviews
Health Resort Imeni Morisa Toreza (Мориса Тореза),"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al48922/reviews
Very Hostel,"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al274943/reviews
Villa Atmosfera,"Россия, Краснодарский край, Сочи",0.0,2,https://tophotels.ru/hotel/al312001/reviews
XS Hotel,"Россия, Краснодарский край, Сочи",0.0,3,https://tophotels.ru/hotel/al155118/reviews
Весна,"Россия, Краснодарский край, Сочи, Хоста",0.0,1,https://tophotels.ru/hotel/al283212/reviews
Графит 4*,"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al312638/reviews
Елизавета,"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al302667/reviews
Ледис,"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al274956/reviews
Милана,"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al191148/reviews
Мини Пансион Сочи,"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al301776/reviews
Порт Сочи,"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al315445/reviews
Светлана Плюс,"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al310072/reviews
Созвездие 3*,"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al309736/reviews
Торнау 2*,"Россия, Краснодарский край, Сочи, Хоста",0.0,1,https://tophotels.ru/hotel/al288906/reviews
